Timestamp,ELW_price,ELW_volume,Option_price,Option_volume,balance
2020-08-13 09:00:33.554182,190.0,-2500,1.86,1,4708.549999999949
2020-08-13 09:00:33.601058,190.0,-2500,1.87,1,2206.5999999999467
2020-08-13 09:00:34.007335,190.0,-2500,1.86,1,4708.549999999949
2020-08-13 09:00:34.507335,190.0,-2500,1.87,1,2206.5999999999467
2020-08-13 09:00:34.663588,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:34.663588,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:34.663588,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:34.694832,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:35.272971,190.0,-2500,1.86,1,4708.549999999949
2020-08-13 09:00:35.304223,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:35.694854,190.0,-2500,1.86,1,4708.549999999949
2020-08-13 09:00:35.804238,190.0,-2500,1.86,1,4708.549999999949
2020-08-13 09:00:35.819862,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:35.835481,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:35.835481,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:35.835481,190.0,-2500,1.85,1,7210.499999999951
2020-08-13 09:00:36.241743,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:36.382380,190.0,-2500,1.84,1,9712.449999999953
2020-08-13 09:00:36.773007,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:36.773007,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:36.773007,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:36.788638,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:36.819884,195.0,-2500,1.86,1,17210.42499999995
2020-08-13 09:00:39.757451,190.0,-2500,1.88,1,-295.34999999999997
2020-08-13 09:00:40.038721,195.0,-2500,1.88,1,12206.525
2020-08-13 09:00:40.351211,195.0,-2500,1.88,1,12206.525
2020-08-13 09:00:41.069983,195.0,-2500,1.9,1,7202.624999999995
2020-08-13 09:00:41.148146,195.0,-2500,1.89,1,9704.574999999999
2020-08-13 09:00:41.444988,195.0,-2500,1.89,1,9704.574999999999
2020-08-13 09:00:41.444988,195.0,-2500,1.89,1,9704.574999999999
2020-08-13 09:00:41.648122,195.0,-2500,1.89,1,9704.574999999999
2020-08-13 09:00:41.694995,195.0,-2500,1.89,1,9704.574999999999
2020-08-13 09:00:41.741872,195.0,-2500,1.89,1,9704.574999999999
2020-08-13 09:00:41.945001,195.0,-2500,1.9,1,7202.624999999995
2020-08-13 09:00:41.976249,195.0,-2500,1.9,1,7202.624999999995
2020-08-13 09:00:43.882551,200.0,-2500,1.92,1,14700.599999999991
2020-08-13 09:00:44.038802,195.0,-2500,1.92,1,2198.724999999991
2020-08-13 09:00:44.835695,195.0,-2500,1.93,1,-303.2250000000109
2020-08-13 09:00:45.320080,195.0,-2500,1.92,1,2198.724999999991
2020-08-13 09:00:45.663847,200.0,-2500,1.9,1,19704.499999999996
2020-08-13 09:00:45.929467,195.0,-2500,1.9,1,7202.624999999995
2020-08-13 09:00:45.929467,195.0,-2500,1.9,1,7202.624999999995
2020-08-13 09:00:45.960723,195.0,-2500,1.92,1,2198.724999999991
2020-08-13 09:00:47.413878,200.0,-2500,1.92,1,14700.599999999991
2020-08-13 09:00:51.195215,200.0,-2500,1.92,1,14700.599999999991
2020-08-13 09:00:51.398342,200.0,-2500,1.92,1,14700.599999999991
2020-08-13 09:00:52.023375,200.0,-2500,1.92,1,14700.599999999991
2020-08-13 09:00:52.538998,200.0,-2500,1.93,1,12198.649999999989
2020-08-13 09:00:52.710855,200.0,-2500,1.96,1,4692.799999999982
2020-08-13 09:00:52.710855,200.0,-2500,1.96,1,4692.799999999982
2020-08-13 09:00:53.445271,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:53.867149,200.0,-2500,1.95,1,7194.749999999985
2020-08-13 09:00:53.976528,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:54.007775,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:54.304661,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:54.304661,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:54.414038,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:54.429695,200.0,-2500,1.94,1,9696.699999999988
2020-08-13 09:00:54.945299,200.0,-2500,1.97,1,2190.8499999999817
2020-08-13 09:00:55.132806,200.0,-2500,1.96,1,4692.799999999982
